region_code,region_name,region_level,n_species,n_checklists,top_hotspot,hotspot_name
US-ME,Maine,subnational1,439,248631,L251836,Monhegan Island
US-ME,Maine,subnational1,439,248631,L251836,Monhegan Island
US-PA,Pennsylvania,subnational1,438,790257,L129756,Presque Isle SP (IBA)
US-PA,Pennsylvania,subnational1,438,790257,L129756,Presque Isle SP (IBA)
US-SC,South Carolina,subnational1,434,205848,L124353,Huntington Beach SP
US-SC,South Carolina,subnational1,434,205848,L124353,Huntington Beach SP
US-ID,Idaho,subnational1,430,132953,L109176,Camas NWR
US-ID,Idaho,subnational1,430,132953,L109176,Camas NWR
US-IL,Illinois,subnational1,429,574468,L161180,"Montrose Point, Lincoln Park, Chicago"
US-IL,Illinois,subnational1,429,574468,L161180,"Montrose Point, Lincoln Park, Chicago"
US-MI,Michigan,subnational1,429,597721,L140452,Whitefish Point
US-MI,Michigan,subnational1,429,597721,L140452,Whitefish Point
US-NE,Nebraska,subnational1,429,85293,L325696,Branched Oak SRA
US-NE,Nebraska,subnational1,429,85293,L325696,Branched Oak SRA
US-GA,Georgia,subnational1,423,343982,L140461,Jekyll Island
US-GA,Georgia,subnational1,423,343982,L140461,Jekyll Island
US-MT,Montana,subnational1,421,157403,L158584,Bowdoin NWR
US-MT,Montana,subnational1,421,157403,L158584,Bowdoin NWR
US-TN,Tennessee,subnational1,421,221492,L267805,Ensley Bottoms--Maxson Wastewater Lagoons (The Pits)/Earth Complex
US-TN,Tennessee,subnational1,421,221492,L267805,Ensley Bottoms--Maxson Wastewater Lagoons (The Pits)/Earth Complex
US-MN,Minnesota,subnational1,419,323751,L418084,Park Point--Park Point Recreation Area
US-MN,Minnesota,subnational1,419,323751,L418084,Park Point--Park Point Recreation Area
US-OH,Ohio,subnational1,417,557187,L248546,Buck Creek SP
US-OH,Ohio,subnational1,417,557187,L248546,Buck Creek SP
US-AR,Arkansas,subnational1,416,84202,L125094,Holla Bend NWR
US-AR,Arkansas,subnational1,416,84202,L125094,Holla Bend NWR
US-DE,Delaware,subnational1,416,99747,L126637,Bombay Hook National Wildlife Refuge
US-DE,Delaware,subnational1,416,99747,L126637,Bombay Hook National Wildlife Refuge
US-MO,Missouri,subnational1,411,250257,L169447,Riverlands Migratory Bird Sanctuary
US-MO,Missouri,subnational1,411,250257,L169447,Riverlands Migratory Bird Sanctuary
US-IN,Indiana,subnational1,410,223499,L335435,Indiana Dunes SP
US-IN,Indiana,subnational1,410,223499,L335435,Indiana Dunes SP
US-MS,Mississippi,subnational1,406,52039,L275524,Seaman Rd Sewage Lagoons (restricted access)
US-MS,Mississippi,subnational1,406,52039,L275524,Seaman Rd Sewage Lagoons (restricted access)
US-NH,New Hampshire,subnational1,404,129873,L797634,NH coast
US-NH,New Hampshire,subnational1,404,129873,L797634,NH coast
US-SD,South Dakota,subnational1,403,51789,L1554256,Farm Island
US-SD,South Dakota,subnational1,403,51789,L1554256,Farm Island
US-IA,Iowa,subnational1,401,87993,L463312,Saylorville Reservoir (general location--please consider using a more specific hotspot)
US-IA,Iowa,subnational1,401,87993,L463312,Saylorville Reservoir (general location--please consider using a more specific hotspot)
US-WY,Wyoming,subnational1,393,60976,L272183,Wyoming Hereford Ranch
US-WY,Wyoming,subnational1,393,60976,L272183,Wyoming Hereford Ranch
US-RI,Rhode Island,subnational1,392,55297,L248058,Block Island
US-RI,Rhode Island,subnational1,392,55297,L248058,Block Island
US-ND,North Dakota,subnational1,387,45785,L158896,Arrowwood NWR
US-ND,North Dakota,subnational1,387,45785,L158896,Arrowwood NWR
US-KY,Kentucky,subnational1,386,88656,L479616,Sloughs WMA--Sauerheber Unit
US-KY,Kentucky,subnational1,386,88656,L479616,Sloughs WMA--Sauerheber Unit
US-VT,Vermont,subnational1,385,241754,L109526,Dead Creek WMA IBA
US-VT,Vermont,subnational1,385,241754,L109526,Dead Creek WMA IBA
US-WV,West Virginia,subnational1,363,83125,L280165,Greenbottom WMA
US-WV,West Virginia,subnational1,363,83125,L280165,Greenbottom WMA
US-DC,District of Columbia,subnational1,319,37620,L168994,East Potomac Park--Hains Pt.
US-DC,District of Columbia,subnational1,319,37620,L168994,East Potomac Park--Hains Pt.
US-HI,Hawaii,subnational1,272,72261,L1131916,James Campbell NWR
US-HI,Hawaii,subnational1,272,72261,L1131916,James Campbell NWR
MX-OAX,Oaxaca,subnational1,742,16812,L282510,Zona Arqueológica Monte Albán
MX-VER,Veracruz,subnational1,679,24075,L221486,Centro de Investigaciones Costeras La Mancha
MX-CHP,Chiapas,subnational1,675,16184,L2290463,PN Palenque
MX-JAL,Jalisco,subnational1,581,12406,L221335,PN Volcán Nevado de Colima (Jalisco)
MX-NAY,Nayarit,subnational1,552,15213,L502887,Reserva Ecológica Sierra de San Juan--La Noria
MX-NAY,Nayarit,subnational1,552,15213,L502887,Reserva Ecológica Sierra de San Juan--La Noria
MX-TAM,Tamaulipas,subnational1,533,3496,L248932,Municipo Gómez Farías
MX-SON,Sonora,subnational1,526,8801,L274687,Arroyo Mentidero y Rio Cuchijaqui
MX-GRO,Guerrero,subnational1,519,1802,L465537,Sierra de Atoyac--Nueva Delhi
MX-PUE,Puebla,subnational1,506,1566,L246668,Laguna San Felipe
MX-SIN,Sinaloa,subnational1,498,4260,L2566666,Reserva de la Chara Pinta (Tufted Jay Preserve)
MX-COL,Colima,subnational1,494,2651,L305929,PN Volcán Nevado de Colima--Laguna La María
MX-MIC,Michoacán,subnational1,485,2308,L221366,Lago de Cuitzeo
MX-ROO,Quintana Roo,subnational1,480,14776,L250111,Zona Arqueológica Cobá
MX-SLP,San Luis Potosí,subnational1,472,963,L298097,El Naranjo (pueblo)
MX-CAM,Campeche,subnational1,449,2940,L1850429,Reserva de la Biosfera Calakmul--Calakmul
MX-BCN,Baja California,subnational1,446,10616,L233409,Estero La Misión
MX-NLE,Nuevo León,subnational1,446,6011,L3920665,Presa La Juventud
MX-TAB,Tabasco,subnational1,440,2210,L879650,Carretera Cd Pemex-Jonuta
MX-HID,Hidalgo,subnational1,439,964,L912928,Laguna de Metztitlán
MX-DUR,Durango,subnational1,429,2921,L1251241,Ciénagas Los Álamos
MX-QUE,Querétaro,subnational1,424,1099,L2444259,Presa de la Constitucion de 1917
MX-YUC,Yucatán,subnational1,424,10331,L1850457,Rio Lagartos (pueblo)
MX-BCS,Baja California Sur,subnational1,416,10119,L277480,Estero San José
MX-CHH,Chihuahua,subnational1,407,2848,L247415,Laguna Fierro
MX-MEX,México,subnational1,404,2501,L221351,Zona Federal del Lago de Texcoco
MX-DIF,Distrito Federal,subnational1,370,9210,L246858,Parque Ecológico de Xochimilco
MX-MOR,Morelos,subnational1,367,1512,L2591129,Camino al Tepozteco
MX-COA,Coahuila,subnational1,363,1569,L872666,Area de Protección de Flora y Fauna Maderas del Carmen
MX-GUA,Guanajuato,subnational1,340,1721,L2300862,Jardín Botánico El Charco del Ingenio
MX-AGU,Aguascalientes,subnational1,293,956,L2277567,Barranca Presa Calles
MX-TLA,Tlaxcala,subnational1,248,243,L221477,PN La Malinche (Tlaxcala)
MX-ZAC,Zacatecas,subnational1,245,213,L1549602,Laguna La Honda
CA-BC-GV,Metro Vancouver,subnational2,386,124424,L261851,Iona Island (general)
CA-BC-CP,Capital,subnational2,379,68730,L344712,Rocky Point Bird Observatory (restricted access)
CA-BC-CS,Columbia-Shuswap,subnational2,334,32203,L285875,Salmon Arm Bay (general)
CA-BC-CS,Columbia-Shuswap,subnational2,334,32203,L285875,Salmon Arm Bay (general)
CA-BC-OS,Okanagan-Similkameen,subnational2,331,42592,L122407,Osoyoos--Road 22
CA-BC-AC,Alberni-Clayoquot,subnational2,329,9535,L210234,Port Alberni--Somass Estuary & sewage lagoons
CA-BC-FV,Fraser Valley,subnational2,315,15405,L368559,Chilliwack--Island 22 Park
CA-BC-CK,Central Kootenay,subnational2,312,24867,L341507,Creston--Duck Lake
CA-BC-CX,Comox-Strathcona,subnational2,311,14183,L341420,Courtenay airpark
CA-BC-NA,Nanaimo,subnational2,308,17856,L290591,Englishman River Estuary (general)
CA-BC-SL,Squamish-Lillooet,subnational2,306,15068,L168868,Squamish River Estuary
CA-BC-CO,Central Okanagan,subnational2,301,12607,L265165,Kelowna--Robert Lake
CA-BC-SC,Sunshine Coast,subnational2,298,10746,L2313567,Wilson Creek estuary
CA-BC-CR,Cariboo,subnational2,297,6713,L294707,"Scout Island, Williams Lake"
CA-BC-EK,East Kootenay,subnational2,294,25954,L304586,"Elizabeth Lake, Cranbrook"
CA-BC-PC,Peace River,subnational2,292,6529,L341490,Fort St. John--north sewage lagoons
CA-BC-TN,Thompson-Nicola,subnational2,291,18229,L344713,Tranquille
CA-BC-NO,North Okanagan,subnational2,290,12800,L285959,Vernon Commonage
CA-BC-FF,Fraser-Fort George,subnational2,289,9472,L2111562,Eaglet Lake
CA-BC-CV,Cowichan Valley,subnational2,274,15334,L797570,Cowichan Bay
CA-BC-KS,Kitimat-Stikine,subnational2,273,4365,L730622,"Ross Lake Provincial Park, Hazelton"
CA-BC-BN,Bulkley-Nechako,subnational2,258,3409,L476202,Nulki Lake
CA-BC-MW,Mount Waddington,subnational2,256,3364,L1499040,Malcolm Island--Rough Bay
CA-BC-SQ,Skeena-Queen Charlotte,subnational2,254,4187,L351671,Sandspit--airport
CA-BC-PW,Powell River,subnational2,244,3660,L351659,Mitlenatch Island Provincial Park
CA-BC-CC,Central Coast,subnational2,241,1121,L960195,Hakai Institute
CA-BC-KB,Kootenay Boundary,subnational2,231,3055,L344089,Anarchist Mountain--Sidley Mtn Road
CA-BC-NR,Northern Rockies,subnational2,229,959,L1458702,Fort Nelson
CA-BC-ST,Stikine,subnational2,205,1404,L1023199,Boya Lake Provincial Park
CA-ON-NF,Norfolk,subnational2,400,29861,L358522,Long Point--Tip
CA-ON-ES,Essex,subnational2,399,42925,L131153,Point Pelee National Park
CA-ON-ES,Essex,subnational2,399,42925,L131153,Point Pelee National Park
CA-ON-ES,Essex,subnational2,399,42925,L131153,Point Pelee National Park
CA-ON-HA,Hamilton,subnational2,369,28162,L201085,Dundas Marsh/Cootes Paradise (general location)
CA-ON-NG,Niagara,subnational2,369,28718,L473829,St. Catharines--Port Weller east pier
CA-ON-KT,Chatham-Kent,subnational2,363,17741,L265518,Rondeau Provincial Park (general location for observations within the park)
CA-ON-TO,Toronto,subnational2,363,52977,L351715,Tommy Thompson Park
CA-ON-DR,Durham,subnational2,355,30272,L10,Whitby--Cranberry Marsh
CA-ON-HT,Halton,subnational2,353,27302,L391173,Oakville--Bronte Harbour
CA-ON-TB,Thunder Bay,subnational2,352,19186,L385528,Thunder Cape Bird Observatory
CA-ON-NU,Northumberland,subnational2,349,39928,L351706,Presqu'ile Provincial Park (general location)
CA-ON-OT,Ottawa,subnational2,340,79497,L351705,Ottawa--Shirley's Bay
CA-ON-BC,Bruce,subnational2,330,14558,L244474,MacGregor Point Provincial Park
CA-ON-LM,Lambton,subnational2,330,11919,L596701,Kettle Point
CA-ON-PE,Prince Edward,subnational2,324,15025,L359367,Prince Edward Point National Wildlife Area
CA-ON-LA,Lennox and Addington,subnational2,323,14172,L371369,Amherst Island
CA-ON-PL,Peel,subnational2,321,19960,L160823,Mississauga--Rattray Marsh
CA-ON-AL,Algoma,subnational2,320,16657,L5640085,Sault Ste. Marie--Whitefish Island / Sault Locks
CA-ON-EL,Elgin,subnational2,314,22443,L589745,Port Burwell Provincial Park
CA-ON-CO,Cochrane,subnational2,310,12579,L449609,Moosonee
CA-ON-FR,Frontenac,subnational2,310,40529,L1022214,Wolfe Island
CA-ON-OX,Oxford,subnational2,309,5170,L385611,Wildwood Reservoir
CA-ON-SC,Simcoe,subnational2,306,18126,L384274,Tiny Marsh
CA-ON-HD,Haldimand,subnational2,305,9179,L986180,Rock Point Provincial Park
CA-ON-MI,Middlesex,subnational2,305,19775,L459666,London--Fanshawe CA
CA-ON-RE,Renfrew,subnational2,302,12456,L470303,Lake Doré
