region_code,region_name,region_level,n_species,n_checklists,top_hotspot,hotspot_name
US-TX-059,Callahan,subnational2,199,541,L899156,Clyde Lake Park
US-TX-353,Nolan,subnational2,199,404,L575718,Lake Sweetwater
US-TX-133,Eastland,subnational2,198,455,L1560264,Lake Leon
US-TX-169,Garza,subnational2,198,456,L664585,Post City Park
US-TX-105,Crockett,subnational2,197,855,L913088,Fort Lancaster Overlook / Sheffield Rest Area
US-TX-323,Maverick,subnational2,197,462,L2058729,Shelby Park
US-TX-327,Menard,subnational2,197,458,L600597,Stockpen Crossing Pk (HOTW 098 )
US-TX-093,Comanche,subnational2,191,352,L487026,Proctor Lake (Comanche Co.)
US-TX-111,Dallam,subnational2,191,448,L755236,Thompson Grove Picnic Area (Dallam Co.)
US-TX-279,Lamb,subnational2,191,471,L2208344,Sandhills State Historical Marker (Lamb Co. US385)
US-TX-435,Sutton,subnational2,191,592,L787162,Eaton Hill Nature Center & Preserve (HOTW 103)
US-TX-445,Terry,subnational2,190,304,L894461,Brownfield--Coleman Park
US-TX-115,Dawson,subnational2,188,465,L2389479,Lamesa--Forest Park
US-TX-345,Motley,subnational2,185,292,L1764731,Matador Cemetery/Sewage Ponds
US-TX-155,Foard,subnational2,183,450,L1000056,Foard Co.--TX6 picnic area S. of Crowell
US-TX-079,Cochran,subnational2,181,321,L2090676,Cochran County Park
US-TX-075,Childress,subnational2,179,291,L575831,Lake Childress (PHP-078)
US-TX-333,Mills,subnational2,173,443,L866629,Goldthwaite Cemetery and City Park
US-TX-501,Yoakum,subnational2,172,242,L881612,Yoakum County Park
US-TX-351,Newton,subnational2,170,221,L577164,Toledo Bend Dam (Newton Co.)(UTC 004)
US-TX-033,Borden,subnational2,169,186,L2608150,Lake JB Thomas--CR338 bridge (Borden Co.)
US-TX-317,Martin,subnational2,169,355,L827422,Martin Co.--CR3201 x CR4600 Playa
US-TX-301,Loving,subnational2,163,125,L1761247,Red Bluff Reservoir (Loving Co.)
US-TX-151,Fisher,subnational2,160,218,L614496,Sylvester Ponds
US-TX-359,Oldham,subnational2,160,229,NA,NA
US-TX-101,Cottle,subnational2,159,224,L575837,Matador WMA (PHP-087)
US-TX-235,Irion,subnational2,157,148,L1498985,Mertzon- Spring Creek area
US-TX-191,Hall,subnational2,156,706,L5651783,Hall Co.--CR1041 Playa
US-TX-431,Sterling,subnational2,156,212,L3153082,Sterling City WWTP
US-TX-433,Stonewall,subnational2,155,243,L5174519,Aspermont Lake
US-TX-011,Armstrong,subnational2,154,199,NA,NA
US-TX-393,Roberts,subnational2,154,180,L4536199,Miami US60/Railroad ave. Park
US-TX-263,Kent,subnational2,151,221,NA,NA
US-TX-065,Carson,subnational2,148,650,L1404036,Panhandle WTP
US-TX-069,Castro,subnational2,146,204,L805437,Hart Irrigation Ponds
US-TX-495,Winkler,subnational2,145,191,L1740221,Winkler Co.--FM874 Willow Seep
US-TX-087,Collingsworth,subnational2,143,142,L786997,Pioneer Park (Collingsworrth Co.)
US-TX-269,King,subnational2,143,237,L4005697,King Co.--CR377
US-TX-165,Gaines,subnational2,142,173,L2416840,S. S. Forest Park
US-TX-173,Glasscock,subnational2,142,267,L3154976,Currie Reservoir
US-TX-483,Wheeler,subnational2,140,214,NA,NA
US-TX-117,Deaf Smith,subnational2,138,199,L4451471,Deaf Smith Co.--CR8
US-TX-103,Crane,subnational2,135,166,L3858422,Crane Co.--US67/Horsehead Crossing Picnic Area
US-TX-421,Sherman,subnational2,133,147,NA,NA
US-TX-461,Upton,subnational2,128,192,NA,NA
US-TX-383,Reagan,subnational2,126,177,L3857013,Reagan North County Park
US-TX-295,Lipscomb,subnational2,121,131,L4967577,Darrouzett Park
US-AZ-003,Cochise,subnational2,464,83808,L266875,Willcox--Lake Cochise and Twin Lakes Golf Course
US-AZ-019,Pima,subnational2,461,159386,L208918,Sweetwater Wetlands
US-AZ-013,Maricopa,subnational2,435,77210,L144858,Riparian Preserve at Gilbert Water Ranch
US-AZ-023,Santa Cruz,subnational2,430,66765,L129050,Patagonia Lake State Park
US-AZ-023,Santa Cruz,subnational2,430,66765,L129050,Patagonia Lake State Park
US-AZ-021,Pinal,subnational2,396,17301,L166979,Boyce Thompson Arboretum SP
US-AZ-015,Mohave,subnational2,389,21190,L765694,Lake Havasu--North end viewpoint
US-AZ-005,Coconino,subnational2,386,40288,L266346,Mormon Lake
US-AZ-025,Yavapai,subnational2,371,32998,L270303,Watson Lake and Riparian Preserve
US-AZ-009,Graham,subnational2,343,4343,L301028,Roper Lake SP
US-AZ-012,La Paz,subnational2,341,11426,L232903,Bill Williams River NWR
US-AZ-001,Apache,subnational2,333,6442,L263435,Becker Lake
US-AZ-007,Gila,subnational2,331,5545,L468284,Roosevelt Lake (Gila Co.)
US-AZ-027,Yuma,subnational2,323,7529,L269932,Mittry Lake
US-AZ-017,Navajo,subnational2,307,5453,L818547,Holbrook--Hidden Cove Golf Course
US-AZ-011,Greenlee,subnational2,253,1451,L3021004,Duncan Birding Trail
US-FL-103,Pinellas,subnational2,416,59711,L127332,Fort De Soto Park
US-FL-103,Pinellas,subnational2,416,59711,L127332,Fort De Soto Park
US-FL-086,Miami-Dade,subnational2,409,54830,L127423,Bill Baggs Cape Florida SP
US-FL-009,Brevard,subnational2,397,50587,L123565,Merritt Island NWR (Please consider using more specific locations)
US-FL-087,Monroe,subnational2,381,36352,L127438,Everglades NP--Flamingo
US-FL-099,Palm Beach,subnational2,381,45917,L127408,Loxahatchee NWR
US-FL-031,Duval,subnational2,368,29857,L127286,Huguenot Memorial City Park
US-FL-101,Pasco,subnational2,355,22472,L127314,"Florida, Pasco, New Port Richey, Green Key Park"
US-FL-033,Escambia,subnational2,347,6639,L127303,Gulf Islands National Seashore--Fort Pickens
US-FL-011,Broward,subnational2,346,25580,L2933693,Markham Park
US-FL-127,Volusia,subnational2,344,17040,L199461,Lake Woodruff NWR
US-FL-091,Okaloosa,subnational2,343,6157,L127244,Okaloosa Holding Ponds
US-FL-057,Hillsborough,subnational2,339,22040,L684255,Cockroach Bay Preserve and surrounding area
US-FL-071,Lee,subnational2,339,69881,L823147,J. N. Ding Darling NWR--Wildlife Drive
US-FL-001,Alachua,subnational2,337,48425,L623357,Paynes Prairie Preserve SP--La Chua Trail
US-FL-021,Collier,subnational2,336,48650,L127407,Corkscrew Swamp Sanctuary
US-FL-129,Wakulla,subnational2,333,11574,L127258,St. Marks NWR
US-FL-061,Indian River,subnational2,329,10915,L127386,Sebastian Inlet SP (Indian River co.)
US-FL-037,Franklin,subnational2,328,6442,L127263,St. George Island SP
US-FL-115,Sarasota,subnational2,328,31640,L234146,Celery Fields
US-FL-113,Santa Rosa,subnational2,326,4452,L142733,Gulf Islands National Seashore--Naval Live Oaks Visitor Center
US-FL-073,Leon,subnational2,325,24966,L3110621,Tall Timbers Research Station
US-FL-095,Orange,subnational2,324,32269,L298649,Lake Apopka Wildlife Drive
US-FL-109,St. Johns,subnational2,319,17741,L127292,Guana Tolomato Matanzas NERR
US-FL-015,Charlotte,subnational2,311,18068,L127396,Babcock-Webb WMA
US-FL-005,Bay,subnational2,310,5787,L1049642,St. Andrews SP
US-FL-053,Hernando,subnational2,310,13122,L499776,"Weekiwachee Preserve, east of Shoal Line Boulevard"
US-FL-105,Polk,subnational2,310,21224,L1106225,Circle B Bar Reserve
US-FL-081,Manatee,subnational2,304,10261,L189003,Emerson Point Preserve
US-FL-075,Levy,subnational2,303,5959,L253368,Cedar Key
US-FL-085,Martin,subnational2,299,8593,L127410,Jonathan Dickinson SP
US-FL-017,Citrus,subnational2,298,5267,L123592,Fort Island Gulf Beach
US-FL-069,Lake,subnational2,293,15614,L578282,Lake Apopka North Shore--North Shore Trailhead (Trailhead Only) (Lake County)
US-FL-117,Seminole,subnational2,285,18011,L357699,Lake Jesup Conservation Area--Marl Bed Flats
US-FL-111,St. Lucie,subnational2,285,4664,L601002,Fort Pierce Inlet SP
US-FL-089,Nassau,subnational2,283,4673,L127287,Fort Clinch SP
US-FL-035,Flagler,subnational2,281,4214,L127306,Washington Oaks Gardens SP
US-FL-045,Gulf,subnational2,279,2117,L127249,St. Joseph Peninsula SP
US-FL-097,Osceola,subnational2,268,10578,L127364,Three Lakes WMA
US-FL-123,Taylor,subnational2,268,1315,L464384,Big Bend WMA--Hickory Mound
US-FL-029,Dixie,subnational2,266,1119,L574414,Horseshoe Beach
US-FL-131,Walton,subnational2,264,1895,L148724,Topsail Hill Preserve SP
US-FL-055,Highlands,subnational2,263,5856,L298002,Archbold Biological Station
US-FL-051,Hendry,subnational2,262,5321,L207305,Stormwater Treatment Area 5/6
US-FL-093,Okeechobee,subnational2,252,3730,L280690,Kissimmee Prairie Preserve SP
US-FL-083,Marion,subnational2,248,7478,L573374,Ocklawaha Prairie Restoration Area
US-FL-023,Columbia,subnational2,243,1349,L678827,Alligator Lake Recreation Area
US-FL-043,Glades,subnational2,240,2301,L127374,Harney Pond Canal Recreation Area
US-FL-063,Jackson,subnational2,237,1958,L127267,Florida Caverns SP
US-FL-019,Clay,subnational2,236,8e3,L607884,Gold Head Branch SP
US-FL-047,Hamilton,subnational2,232,577,L588455,PotashCorp Mines - White Springs WMA
US-FL-107,Putnam,subnational2,230,1613,L574330,Deep Creek Conservation Area--Edgefield
US-FL-119,Sumter,subnational2,225,2273,L574342,Lake Panasoffkee WMA
US-FL-065,Jefferson,subnational2,223,3176,L132594,Lake Miccosukee - US90 Fishing Pier
US-FL-039,Gadsden,subnational2,210,1528,L2179638,Joe Budd WMA
US-FL-027,DeSoto,subnational2,206,1348,L789996,Deep Creek Preserve
US-FL-067,Lafayette,subnational2,204,370,L588174,Koon Lake  Lafayette
US-FL-121,Suwannee,subnational2,202,1185,L140604,Suwannee River SP
US-FL-007,Bradford,subnational2,201,530,L587082,Lake Sampson N
US-FL-079,Madison,subnational2,197,892,L296358,"North Florida Community College, Madison"
US-FL-133,Washington,subnational2,197,1465,L588012,Pine Log SF (Washington Co.)
US-FL-049,Hardee,subnational2,196,907,L585963,Hardee Lakes Park
US-FL-041,Gilchrist,subnational2,194,550,L586921,Hart Springs Park
US-FL-077,Liberty,subnational2,188,652,L127269,Torreya SP
US-FL-125,Union,subnational2,187,448,L132476,Lake Butler Park
US-FL-003,Baker,subnational2,186,666,L127270,Osceola NF
US-FL-013,Calhoun,subnational2,178,892,L139590,Sam B. Atkins Rec. Park
US-FL-059,Holmes,subnational2,178,515,L148722,Ponce de Leon Springs SP
US-NM-053,Socorro,subnational2,403,18727,L127945,Bosque del Apache NWR
US-NM-053,Socorro,subnational2,403,18727,L127945,Bosque del Apache NWR
US-NM-015,Eddy,subnational2,396,5940,L128933,Carlsbad Caverns NP -- Rattlesnake Springs
US-NM-051,Sierra,subnational2,391,5587,L271618,Caballo Lake SP--Percha Recreation Area
US-NM-013,Dona Ana,subnational2,379,9324,L280626,Mesilla Valley Bosque SP
US-NM-001,Bernalillo,subnational2,373,48350,L196306,Rio Grande Nature Center SP
US-NM-047,San Miguel,subnational2,354,7553,L279404,Las Vegas NWR
US-NM-049,Santa Fe,subnational2,349,14084,L168704,Randall Davey Audubon Center
US-NM-041,Roosevelt,subnational2,341,4177,L268207,Melrose Woods
US-NM-043,Sandoval,subnational2,336,10520,L279626,Cochiti Lake
US-NM-023,Hidalgo,subnational2,334,4570,L152046,Lordsburg Sewage ponds
US-NM-005,Chaves,subnational2,329,3247,L274946,Bitter Lake NWR
US-NM-017,Grant,subnational2,328,5650,L281275,Lake Roberts
US-NM-035,Otero,subnational2,318,3593,L278720,Holloman Lakes
US-NM-045,San Juan,subnational2,317,2930,L282810,Morgan Lake
US-NM-007,Colfax,subnational2,316,3350,L265647,Maxwell NWR
US-NM-011,De Baca,subnational2,301,1388,L327120,Sumner Lake SP
US-NM-009,Curry,subnational2,300,2051,L278152,Ned Houk Park
US-NM-039,Rio Arriba,subnational2,293,4645,L1119772,Ohkay Owingeh Fishing Lakes
US-NM-006,Cibola,subnational2,285,2176,L278652,Acomita Lake
US-NM-028,Los Alamos,subnational2,281,27154,L3354672,Confluence of Pueblo and Acid Canyons
US-NM-033,Mora,subnational2,281,2371,L454527,Wagon Mound Waterfowl Area
US-NM-059,Union,subnational2,280,2004,L279389,Clayton Lake SP
US-NM-061,Valencia,subnational2,279,4101,L674447,Whitfield Wildlife Conservation Area
US-NM-037,Quay,subnational2,277,1396,L278706,Ute Lake SP
US-NM-019,Guadalupe,subnational2,274,1087,L142100,Santa Rosa Lake SP
US-NM-057,Torrance,subnational2,274,2218,L278316,"Green Chaparral Turf Farm, Moriarty"
US-NM-025,Lea,subnational2,273,2182,L279672,Tatum Sewage Ponds
US-NM-029,Luna,subnational2,268,1820,L144364,Pecan Park
US-NM-003,Catron,subnational2,267,3555,L589670,Gila Cliff Dwellings NM
US-NM-027,Lincoln,subnational2,261,1709,L276096,Ramon
US-NM-055,Taos,subnational2,254,5654,L1117941,Fred Baca Park
US-NM-021,Harding,subnational2,238,800,L131198,Mills Canyon
US-NM-031,McKinley,subnational2,234,814,L945325,Ramah Lake/Reservoir
US-OR-039,Lane,subnational2,391,55892,L487048,Fern Ridge WMA--Royal Ave. area (general)
US-OR-015,Curry,subnational2,371,7215,L629009,Cape Blanco SP
US-OR-007,Clatsop,subnational2,357,11644,L887381,Fort Stevens SP--South Jetty/Parking Area C
US-OR-041,Lincoln,subnational2,354,33209,L613298,Mark Hatfield Marine Science Center and Estuary Trail
US-OR-025,Harney,subnational2,353,16207,L159619,Malheur NWR--Headquarters
US-OR-025,Harney,subnational2,353,16207,L159619,Malheur NWR--Headquarters
US-OR-017,Deschutes,subnational2,349,27173,L447435,Hatfield Lake
US-OR-019,Douglas,subnational2,344,10386,L278056,Fords Pond
US-OR-057,Tillamook,subnational2,342,13879,L285627,Bayocean Spit--bay (east) side
US-OR-011,Coos,subnational2,339,9091,L159572,Bandon Marsh NWR
US-OR-035,Klamath,subnational2,333,15613,L686411,Wood River Wetland
US-OR-003,Benton,subnational2,325,76582,L159617,William L. Finley NWR
US-OR-051,Multnomah,subnational2,316,52793,L712038,Sauvie Island (Multnomah Co.)
US-OR-037,Lake,subnational2,306,8461,L444656,Summer Lake Wildlife Area
US-OR-029,Jackson,subnational2,305,25949,L389848,Emigrant Lake
US-OR-061,Union,subnational2,305,6357,L948413,Ladd Marsh WMA
US-OR-047,Marion,subnational2,296,22857,L159571,Ankeny NWR
US-OR-067,Washington,subnational2,296,40374,L163529,Fernhill Wetlands (general)
US-OR-043,Linn,subnational2,295,10933,L550378,Lost Lake (Linn Co.)
US-OR-053,Polk,subnational2,294,14398,L159573,Baskett Slough NWR
US-OR-059,Umatilla,subnational2,287,4319,L341405,Cold Springs NWR
US-OR-013,Crook,subnational2,281,4208,L454015,Ochoco Reservoir
US-OR-031,Jefferson,subnational2,280,4798,L687479,Haystack Reservoir
US-OR-005,Clackamas,subnational2,277,19553,L856386,Timothy Lake
US-OR-033,Josephine,subnational2,266,5594,L728349,Whitehorse County Park
US-OR-001,Baker,subnational2,261,2967,L682694,Farewell Bend SP
US-OR-063,Wallowa,subnational2,260,4545,L982736,Wallowa Lake SP
US-OR-065,Wasco,subnational2,259,5146,L1660824,The Dalles Riverfront Park
US-OR-049,Morrow,subnational2,256,2765,L804384,Umatilla NWR (Oregon)
US-OR-045,Malheur,subnational2,254,2541,L854149,Malheur Reservoir
US-OR-009,Columbia,subnational2,249,6378,L712037,Sauvie Island (Columbia Co.)
US-OR-023,Grant,subnational2,246,2242,L454013,Clyde Holiday SP
US-OR-027,Hood River,subnational2,242,3772,L384030,Hood River mouth
US-OR-055,Sherman,subnational2,238,1977,L285645,Deschutes River SP
US-OR-071,Yamhill,subnational2,227,3957,L807149,Sheridan WTP Ponds (restricted access)
US-OR-021,Gilliam,subnational2,221,1694,L2327705,Willow Creek Wildlife Area
US-OR-069,Wheeler,subnational2,214,1928,L787451,John Day Fossil Beds NM--Painted Hills Unit
US-WA-009,Clallam,subnational2,367,25783,L267164,Neah Bay
US-WA-009,Clallam,subnational2,367,25783,L267164,Neah Bay
US-WA-057,Skagit,subnational2,361,42086,L476174,Skagit WMA--Wylie Slough
US-WA-027,Grays Harbor,subnational2,356,22951,L268334,Ocean Shores
US-WA-033,King,subnational2,356,114207,L128530,Discovery Park
US-WA-061,Snohomish,subnational2,333,30072,L109543,Port Susan Bay TNC reserve (restricted access)
US-WA-071,Walla Walla,subnational2,331,11298,L109548,Walla Walla River Delta
US-WA-049,Pacific,subnational2,322,7654,L302836,Midway Beach
US-WA-073,Whatcom,subnational2,319,22941,L339645,Point Roberts
US-WA-035,Kitsap,subnational2,317,21770,L109542,Point No Point
US-WA-025,Grant,subnational2,316,11525,L265765,Potholes State Park
US-WA-077,Yakima,subnational2,312,23748,L109549,Wenas Area
US-WA-053,Pierce,subnational2,310,37934,L284679,Gog-Le-Hi-Te Mitigated Wetlands
US-WA-043,Lincoln,subnational2,309,5133,L590746,Sprague Lake (Lincoln Co.)
US-WA-067,Thurston,subnational2,309,31396,L282253,Billy Frank Jr. Nisqually NWR
US-WA-005,Benton,subnational2,302,3450,L600469,Bateman Island
US-WA-031,Jefferson,subnational2,290,14745,L249781,Fort Flagler SP
US-WA-047,Okanogan,subnational2,289,13485,L268706,Cameron Lake Road
US-WA-037,Kittitas,subnational2,286,15166,L461167,Wanapum State Park
US-WA-011,Clark,subnational2,284,13894,L592967,Ridgefield NWR--River 'S' Unit
US-WA-029,Island,subnational2,284,11227,L109534,Crockett Lake
US-WA-039,Klickitat,subnational2,283,5774,L144114,Conboy Lake NWR
US-WA-063,Spokane,subnational2,283,16629,L109546,Turnbull NWR
US-WA-001,Adams,subnational2,282,4150,L165393,Sprague Lake (Adams Co.)
US-WA-007,Chelan,subnational2,276,18150,L241592,Wenatchee Confluence SP/Horan Wildlife Area
US-WA-021,Franklin,subnational2,272,2261,L350064,Lyons Ferry Park
US-WA-017,Douglas,subnational2,269,5927,L273488,Waterville Plateau
US-WA-065,Stevens,subnational2,265,7238,L627710,Little Pend Oreille NWR
US-WA-075,Whitman,subnational2,263,4364,L517619,Rock Lake (Whitman County)
US-WA-003,Asotin,subnational2,261,1966,L471074,Swallows Park
US-WA-055,San Juan,subnational2,260,17814,L879916,Friday Harbor -- Harbor area
US-WA-015,Cowlitz,subnational2,259,4281,L371363,Woodland Bottoms
US-WA-051,Pend Oreille,subnational2,253,4215,L483728,Calispell Lake
US-WA-041,Lewis,subnational2,245,4947,L2083355,Cowlitz WA--Riffe Lake east end
US-WA-059,Skamania,subnational2,235,2514,L1339210,Skamania Landing
US-WA-045,Mason,subnational2,234,5623,L250091,Theler Wetlands
US-WA-019,Ferry,subnational2,231,2371,L1223383,Sanpoil River Valley
US-WA-013,Columbia,subnational2,225,1029,L560848,Lewis & Clark Trail State Park
US-WA-069,Wahkiakum,subnational2,224,2218,L163495,Julia Butler Hansen NWR
US-WA-023,Garfield,subnational2,221,689,L732235,Central Ferry (Garfield Co.)
US-AK-016,Aleutians West,subnational2,343,8439,L261146,St. Paul Island (Pribilof Islands-Bering Sea)
US-AK-016,Aleutians West,subnational2,343,8439,L261146,St. Paul Island (Pribilof Islands-Bering Sea)
US-AK-110,Juneau,subnational2,315,15345,L152823,Mendenhall Wetlands SGR--Airport Dike Trail
US-AK-180,Nome,subnational2,298,12062,L246497,Gambell (general area)
US-AK-261,Valdez-Cordova,subnational2,296,6019,L559390,Middleton Island (restricted) (Gulf of Alaska)
US-AK-232,Skagway-Hoonah-Angoon,subnational2,293,6592,L781318,Gustavus--Forelands
US-AK-122,Kenai Peninsula,subnational2,282,24937,L292324,Homer Spit
US-AK-130,Ketchikan Gateway,subnational2,254,4323,L1022652,Ketchikan (town)
US-AK-020,Anchorage,subnational2,253,29854,L129129,Westchester Lagoon
US-AK-201,Prince of Wales-Outer Ketchikan,subnational2,244,1033,L2980099,Hyder (town)
US-AK-185,North Slope,subnational2,232,7345,L736019,Utqiagvik (Barrow)--Naval Arctic Research Lab.
US-AK-150,Kodiak Island,subnational2,231,2492,L1452870,Kodiak Is.--City of Kodiak (includes Near Island)
US-AK-280,Wrangell-Petersburg,subnational2,226,3e3,L1904567,Petersburg (town)
US-AK-220,Sitka,subnational2,214,1705,L443195,Sitka (town)
US-AK-100,Haines,subnational2,211,1448,L684556,Haines (town)
US-AK-170,Matanuska-Susitna,subnational2,201,6945,L295787,Denali State Park
US-AK-164,Lake and Peninsula,subnational2,196,330,L1230391,Katmai NP--Brooks Lodge (Brooks River)
US-AK-282,Yakutat,subnational2,196,234,L1652081,Yakutat--Ankau area
US-AK-090,Fairbanks North Star,subnational2,194,7437,L128537,Creamer's Field State Migratory Waterfowl Refuge
US-AK-050,Bethel,subnational2,186,664,L680691,Bethel (Yukon Delta NWR)
US-AK-240,Southeast Fairbanks,subnational2,175,1348,L2162295,Delta Junction--Barley Way
US-AK-290,Yukon-Koyukuk,subnational2,169,992,L1131905,Yukon Flats NWR
US-AK-070,Dillingham,subnational2,166,210,L858431,Togiak (town)
US-AK-188,Northwest Arctic,subnational2,165,389,L1566807,Kotzebue--Lagoon & wetlands
US-AK-068,Denali,subnational2,163,4202,L598455,Denali NP
US-AK-270,Kusilvak,subnational2,157,296,L3729001,Yukon Delta NWR--Kanaryarmuit Cabin
US-AK-013,Aleutians East,subnational2,152,718,L1120073,Izembek NWR
US-AK-060,Bristol Bay,subnational2,128,235,L2687656,King Salmon (town-Alaska Penin.)
US-MA-001,Barnstable,subnational2,430,96068,L207462,Wellfleet Bay Wildlife Sanctuary
US-MA-009,Essex,subnational2,429,107302,L830335,Plum Island
US-MA-009,Essex,subnational2,429,107302,L830335,Plum Island
US-MA-023,Plymouth,subnational2,387,41609,L207383,Manomet Inc.
US-MA-007,Dukes,subnational2,380,5132,L663765,Cuttyhunk Island
US-MA-019,Nantucket,subnational2,364,15421,L485218,Siasconset
US-MA-005,Bristol,subnational2,362,21701,L207420,Allen's Pond--Allen's Neck
US-MA-017,Middlesex,subnational2,348,105816,L208284,Great Meadows NWR--Concord Unit
US-MA-025,Suffolk,subnational2,347,38308,L207348,Belle Isle Marsh Reservation
US-MA-021,Norfolk,subnational2,344,36551,L475097,Squantum
US-MA-027,Worcester,subnational2,338,35452,L452346,Bolton Flats WMA
US-MA-015,Hampshire,subnational2,325,46601,L743036,Quabbin Reservoir (please use more refined location)
US-MA-011,Franklin,subnational2,304,16258,L340851,Turner's Falls Power Canal
US-MA-003,Berkshire,subnational2,299,22725,L616955,Bartholomew's Cobble (TTOR)
US-MA-013,Hampden,subnational2,294,17956,L330361,Fannie Stebbins Wildlife Refuge
US-CO-069,Larimer,subnational2,419,53052,L212245,Dixon Reservoir
US-CO-101,Pueblo,subnational2,419,9841,L109303,Pueblo Reservoir
US-CO-013,Boulder,subnational2,408,54702,L342269,Walden Ponds Wildlife Habitat (Walden & Sawhill Ponds all together)
US-CO-041,El Paso,subnational2,404,28481,L285720,Chico Basin Ranch (El Paso Co.)
US-CO-059,Jefferson,subnational2,385,58112,L268757,Chatfield SP (Jefferson Co.)
US-CO-123,Weld,subnational2,384,25435,L131333,Pawnee National Grassland--Crow Valley Campground
US-CO-035,Douglas,subnational2,376,27263,L268316,Chatfield SP (Douglas Co.)
US-CO-011,Bent,subnational2,363,4131,L109299,John Martin Reservoir
US-CO-001,Adams,subnational2,359,15654,L109289,Barr Lake State Park
US-CO-001,Adams,subnational2,359,15654,L109289,Barr Lake State Park
US-CO-005,Arapahoe,subnational2,353,26130,L140473,Cherry Creek SP
US-CO-099,Prowers,subnational2,352,10819,L140471,Lamar Community College
US-CO-121,Washington,subnational2,341,3160,L140469,Prewitt Reservoir (Washington Co.)
US-CO-075,Logan,subnational2,336,4829,L587794,Jumbo Reservoir (Logan Co.)
US-CO-125,Yuma,subnational2,336,3926,L109290,Bonny Reservoir (State Park & State Wildlife Area)
US-CO-089,Otero,subnational2,332,2822,L131619,Holbrook Reservoir
US-CO-009,Baca,subnational2,331,3690,L140457,Two Buttes State Wildlife Area
US-CO-087,Morgan,subnational2,331,4638,L159448,Jackson Reservoir
US-CO-077,Mesa,subnational2,329,13153,L338760,Highline Lake State Park
US-CO-043,Fremont,subnational2,322,7430,L338244,Brush Hollow Reservoir
US-CO-115,Sedgwick,subnational2,311,1402,L587796,Jumbo Reservoir (Sedgwick Co.)
US-CO-025,Crowley,subnational2,307,1247,L131615,Lake Henry
US-CO-061,Kiowa,subnational2,307,2215,L165236,Neenoshe Reservoir
US-CO-073,Lincoln,subnational2,307,3096,L1051067,Brett Gray Ranch (restricted access)
US-CO-031,Denver,subnational2,304,16085,L207900,Marston Reservoir complex--Marston Reservoir
US-CO-029,Delta,subnational2,303,3434,L140456,Confluence Park
US-CO-067,La Plata,subnational2,303,4181,L365439,Pastorius Reservoir
US-CO-055,Huerfano,subnational2,296,1411,L338197,Lathrop State Park
US-CO-027,Custer,subnational2,285,1220,L338217,DeWeese Reservoir
US-CO-071,Las Animas,subnational2,285,1519,L233676,Trinidad Reservoir (SP & State Wildlife Area)
US-CO-063,Kit Carson,subnational2,283,1830,L271802,Flagler Reservoir State Wildlife Area
US-CO-015,Chaffee,subnational2,281,3516,L501195,Sands Lake State Wildlife Area
US-CO-093,Park,subnational2,278,8736,L168214,Elevenmile Reservoir
US-CO-003,Alamosa,subnational2,274,6302,L560852,Blanca Wetlands NWR
US-CO-107,Routt,subnational2,270,4939,L452813,Carpenter Ranch
US-CO-081,Moffat,subnational2,267,3037,L304071,Browns Park NWR
US-CO-083,Montezuma,subnational2,266,2729,L109300,Mesa Verde NP
US-CO-057,Jackson,subnational2,263,6051,L281058,Arapaho NWR
US-CO-039,Elbert,subnational2,261,3761,L1774054,Colorado Hwy 86 roadside ponds
US-CO-085,Montrose,subnational2,259,2810,L233493,Black Canyon of the Gunnison NP--South Rim
US-CO-007,Archuleta,subnational2,254,2557,L212426,Navajo SP and Reservoir
US-CO-014,Broomfield,subnational2,254,4122,L473873,Plaster Reservoir
US-CO-051,Gunnison,subnational2,254,5691,L168165,Blue Mesa Reservoir
US-CO-095,Phillips,subnational2,253,2068,L1293403,Holyoke Cemetery
US-CO-037,Eagle,subnational2,252,3094,L595009,Gypsum Ponds
US-CO-105,Rio Grande,subnational2,246,1387,L109301,Monte Vista NWR
US-CO-049,Grand,subnational2,245,3974,L272214,Windy Gap Reservoir
US-CO-045,Garfield,subnational2,237,2965,L1032655,No Name
US-CO-109,Saguache,subnational2,236,2010,L560859,Russell Lakes State Wildlife Area
US-CO-117,Summit,subnational2,232,5647,L342175,Dillon Reservoir
US-CO-021,Conejos,subnational2,230,698,L1185743,Pike's Stockade
US-CO-091,Ouray,subnational2,229,1299,L140455,Ridgway Reservoir and SP
US-CO-103,Rio Blanco,subnational2,228,798,L4095616,Meeker (town)
US-CO-023,Costilla,subnational2,226,507,L241530,Smith Reservoir
US-CO-119,Teller,subnational2,224,3076,L610738,Manitou Lake
US-CO-017,Cheyenne,subnational2,222,1639,L1398327,Kit Carson (town)
US-CO-113,San Miguel,subnational2,217,850,L141580,Miramonte Reservoir
US-CO-065,Lake,subnational2,213,765,L358972,Twin Lakes (Lake Co.)
US-CO-019,Clear Creek,subnational2,200,3887,L342181,Echo Lake area
US-CO-033,Dolores,subnational2,198,280,L2827957,Lone Dome State Wildlife Area
US-CO-097,Pitkin,subnational2,189,1308,L213905,Aspen Center for Environmental Studies
US-CO-053,Hinsdale,subnational2,182,647,L1077657,Lake City (town)
US-CO-079,Mineral,subnational2,174,418,L320591,Wolf Creek Pass
US-CO-047,Gilpin,subnational2,170,1242,L298785,Golden Gate Canyon SP
US-CO-111,San Juan,subnational2,142,351,L2695141,Silverton (town)
US-NY-103,Suffolk,subnational2,414,118648,L268000,Robert Moses SP
